svc,cohort,cohort_years,paygrade_level,paygrade,y1_emp,y5_emp,y10_emp,y1_nonemp,y5_nonemp,y10_nonemp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp,status_y1_earn,status_y5_earn,status_y10_earn
0,0,20,X,E1-E9,1374000,1400000,892300,1423000,881000,484200,26200,34990,42120,40230,52270,62350,61970,75920,90070,1,1,1,1,1,1,1,1,1
0,0,20,E,E1,54580,55650,36690,80400,55440,34320,19100,23350,26960,24840,32790,39590,33450,45740,56770,1,1,1,1,1,1,1,1,1
0,0,20,E,E2,56480,58470,40090,77460,51700,32320,19400,24130,28200,25510,34010,41080,34810,47620,58560,1,1,1,1,1,1,1,1,1
0,0,20,E,E3,137100,147600,99510,186100,119100,68600,20660,26750,32380,28400,38550,47320,39540,54060,67490,1,1,1,1,1,1,1,1,1
0,0,20,E,E4,443100,481800,297600,535300,314600,156900,23960,32890,40500,34630,47530,58040,49160,66370,82140,1,1,1,1,1,1,1,1,1
0,0,20,E,E5,310500,316500,200100,307100,178500,91940,29950,40980,49830,45100,58640,71200,65910,81870,98920,1,1,1,1,1,1,1,1,1
0,0,20,E,E6,148300,138500,86470,110700,74590,43550,37240,45800,50450,54640,64380,71450,78260,90060,99450,1,1,1,1,1,1,1,1,1
0,0,20,E,E7-E9,223500,201300,131800,125700,86980,56610,45320,54480,59970,65560,75790,83390,90130,100300,108900,1,1,1,1,1,1,1,1,1
0,2002,2,X,E1-E9,135400,167600,163000,115800,83640,88350,25000,34110,40550,37590,50760,60130,56370,73310,87780,1,1,1,1,1,1,1,1,1
0,2002,2,E,E1,5584,7373,6872,7780,6008,6538,18110,22730,26350,23840,32090,38550,31960,44710,55180,1,1,1,1,1,1,1,1,1
0,2002,2,E,E2,6480,8806,8170,9015,6749,7368,18520,23300,27370,24300,32920,39700,32640,45820,56320,1,1,1,1,1,1,1,1,1
0,2002,2,E,E3,13900,18350,17210,17360,12930,14040,19730,25340,30260,26670,36870,44470,36570,51120,63510,1,1,1,1,1,1,1,1,1
0,2002,2,E,E4,40710,54080,53720,40970,27630,27960,22820,32030,38790,32380,46250,55840,44860,63820,78960,1,1,1,1,1,1,1,1,1
0,2002,2,E,E5,26500,33450,33730,21910,14920,14740,27830,40470,48610,40790,57170,69670,57920,78620,97500,1,1,1,1,1,1,1,1,1
0,2002,2,E,E6,17530,18950,18090,8444,6984,7893,34880,45520,48610,49520,62240,68260,69640,85600,95960,1,1,1,1,1,1,1,1,1
0,2002,2,E,E7-E9,24740,26610,25250,10310,8422,9816,41550,52960,57960,59830,73750,81860,82480,98230,108400,1,1,1,1,1,1,1,1,1
0,2004,2,X,E1-E9,177300,179800,196900,125900,123400,106500,25050,36970,41610,38610,54780,61620,58660,79350,89170,1,1,1,1,1,1,1,1,1
0,2004,2,E,E1,6475,5643,7202,6908,7709,6201,18060,23760,26870,24200,32740,39120,33000,46540,56820,1,1,1,1,1,1,1,1,1
0,2004,2,E,E2,7667,6710,8502,7464,8382,6653,18270,24480,27910,24750,34300,40690,34300,47780,58510,1,1,1,1,1,1,1,1,1
0,2004,2,E,E3,19170,18320,21860,17910,18710,15220,19460,27370,32060,27080,39320,46900,38060,55650,67810,1,1,1,1,1,1,1,1,1
0,2004,2,E,E4,56920,58770,67340,46790,45040,36450,22520,33620,39440,32900,48220,56880,46330,67260,80950,1,1,1,1,1,1,1,1,1
0,2004,2,E,E5,36100,38290,41850,25760,23560,20000,28020,42430,49100,42160,59980,69870,61150,83370,97300,1,1,1,1,1,1,1,1,1
0,2004,2,E,E6,19500,19700,19360,9425,9239,9587,36240,47510,49420,51550,65350,69440,72120,90250,96280,1,1,1,1,1,1,1,1,1
0,2004,2,E,E7-E9,31520,32370,30800,11630,10780,12370,44560,57410,59220,63010,79180,82800,86510,105800,108900,1,1,1,1,1,1,1,1,1
0,2006,2,X,E1-E9,168200,170300,190700,118600,116500,96010,26840,36620,43190,41190,55050,63620,62490,80500,91400,1,1,1,1,1,1,1,1,1
0,2006,2,E,E1,5452,5101,6413,7259,7550,6229,18680,22700,26380,24790,31380,39500,34440,44320,56680,1,1,1,1,1,1,1,1,1
0,2006,2,E,E2,5556,5504,7010,7204,7298,5757,18950,23370,27770,25330,32280,40460,35060,46090,57670,1,1,1,1,1,1,1,1,1
0,2006,2,E,E3,16140,15680,19770,16130,16580,12550,20470,26300,32450,28400,37850,47270,39380,53640,66990,1,1,1,1,1,1,1,1,1
0,2006,2,E,E4,51900,52860,62740,41020,40100,30190,24090,32960,41330,34880,48070,59060,49400,68230,83370,1,1,1,1,1,1,1,1,1
0,2006,2,E,E5,40650,42430,47240,26950,25180,20370,29840,41730,49980,44880,59860,71570,64570,84670,99220,1,1,1,1,1,1,1,1,1
0,2006,2,E,E6,19270,19110,19220,9200,9304,9185,37170,47250,50870,53590,65910,71730,75430,91260,99070,1,1,1,1,1,1,1,1,1
0,2006,2,E,E7-E9,29190,29590,28330,10850,10510,11740,45820,57060,60290,64570,77820,83600,88010,102700,108600,1,1,1,1,1,1,1,1,1
0,2008,2,X,E1-E9,104300,151000,167300,152800,106000,89780,28940,33460,42710,46130,51080,63600,71950,76240,91760,1,1,1,1,1,1,1,1,1
0,2008,2,E,E1,3592,6420,7921,12080,9202,7724,19860,22030,26700,24580,29990,39140,32230,42720,56310,1,1,1,1,1,1,1,1,1
0,2008,2,E,E2,3504,6659,8016,10840,7739,6325,20060,22950,28230,25210,31690,40950,33670,44480,58240,1,1,1,1,1,1,1,1,1
0,2008,2,E,E3,8405,15750,18800,22520,15100,12070,21280,24960,32960,28410,35600,48070,39780,50780,67900,1,1,1,1,1,1,1,1,1
0,2008,2,E,E4,27170,46010,53210,53350,34460,27380,25190,30790,41480,36230,45000,59200,52400,63710,83750,1,1,1,1,1,1,1,1,1
0,2008,2,E,E5,25120,36660,40270,33170,21600,18000,32160,39500,51250,48950,57270,73110,71690,81600,101500,1,1,1,1,1,1,1,1,1
0,2008,2,E,E6,13330,15270,15540,10250,8340,8014,40560,45290,52620,59460,64450,75020,84400,92020,104700,1,1,1,1,1,1,1,1,1
0,2008,2,E,E7-E9,23190,24190,23540,10600,9601,10270,51200,55480,62030,72110,76560,85150,96580,100100,109600,1,1,1,1,1,1,1,1,1
0,2010,2,X,E1-E9,103000,167200,174300,175000,110800,103600,26700,32980,42500,42110,49300,62650,68930,72140,89890,1,1,1,1,1,1,1,1,1
0,2010,2,E,E1,4671,7961,8280,11350,7983,7631,19770,23160,28470,24850,32290,41370,33390,44810,58250,1,1,1,1,1,1,1,1,1
0,2010,2,E,E2,4420,7988,8396,10160,6630,6219,20120,24040,29970,25650,33620,43720,34420,47350,61790,1,1,1,1,1,1,1,1,1
0,2010,2,E,E3,10100,20340,21870,26490,16250,14720,20960,26080,34090,28250,37490,49400,39610,52360,70010,1,1,1,1,1,1,1,1,1
0,2010,2,E,E4,28560,56590,60580,66970,39000,34920,23900,31330,41560,34280,45060,59240,50440,62820,83230,1,1,1,1,1,1,1,1,1
